SRP245409	SRX7636886	Complete genome of a novel coronavirus associated with severe human respiratory disease in Wuhan, China	Complete genome of a novel coronavirus associated with severe human respiratory disease in Wuhan, China	433733	human lung metagenome	RNA-Seq	METATRANSCRIPTOMIC	RANDOM	SRS6067521		Illumina MiniSeq	28282964	2743427127	SRR10971381	28282964	8031043214
SRP242226	SRX7571571	Total RNA sequencing of BALF (human reads removed)	Total RNA sequencing of BALF (human reads removed)	9606	Homo sapiens	RNA-Seq	METATRANSCRIPTOMIC	RANDOM	SRS6007144		Illumina MiSeq	476632	72426963	SRR10903401	476632	143565674
SRP242226	SRX7571570	Total RNA sequencing of BALF (human reads removed)	Total RNA sequencing of BALF (human reads removed)	9606	Homo sapiens	RNA-Seq	METATRANSCRIPTOMIC	RANDOM	SRS6007143		Illumina MiSeq	676694	104687344	SRR10903402	676694	203832203
