run_accession	study_accession
SRR12480547	PRJNA650037
SRR12480548	PRJNA650037
SRR12480550	PRJNA650037
SRR12480551	PRJNA650037
SRR12480552	PRJNA650037
SRR12480553	PRJNA650037
SRR12480554	PRJNA650037
SRR12480555	PRJNA650037
SRR12480569	PRJNA650037
SRR12480570	PRJNA650037
SRR12480571	PRJNA650037
SRR12480572	PRJNA650037
SRR12480573	PRJNA650037
SRR12480575	PRJNA650037
SRR12480576	PRJNA650037
SRR12480577	PRJNA650037
SRR12480578	PRJNA650037
SRR12480579	PRJNA650037
SRR12480580	PRJNA650037
SRR12480581	PRJNA650037
SRR12480582	PRJNA650037
SRR12480583	PRJNA650037
